topic_name,category_name,bundle_id,year,company,industry,country
"Health, Nutrition and Wellness",Access & affordability,28449,2020,Campbell's,Processed Foods,United States
human rights,"Human rights, child labor, forced or compulsory labor",34765,2021,Thai President Foods Public Company Limited.,Processed Foods,Thailand
Complying with laws,Compliance with laws and regulations,24816,2023,Newlat Food SpA,Processed Foods,Italy
Emissions,Climate change and GHG emissions,50618,2022,Asian Alliance International PCL,Processed Foods,Thailand
entrepreneurship,Other,26446,2023,Kervan Gida Sanayi Ve Ticaret AS,Processed Foods,Turkiye
Transparent Disclosure of Information,Corporate governance,37781,2021,Samyang Corp,Processed Foods,"Korea, Rep."
Compliance,Compliance with laws and regulations,34168,2021,Itoham Yonekyu Holdings Inc.,Processed Foods,Japan
Diversity and inclusion,"Diversity, equal opportunity and non-discrimination",52068,2022,Baby Food Factory (BFF),Processed Foods,Serbia
Ecological Impacts,Environmental management,29088,2023,Kraft Heinz Co,Processed Foods,United States
natural resources preservation,Other,34765,2021,Thai President Foods Public Company Limited.,Processed Foods,Thailand
Business ethics,Corporate governance,51000,2024,"Post Holdings, Inc.",Processed Foods,United States
Improve livelihoods,Other,52749,2023,Dr. Schär,Processed Foods,Italy
Responsible sourcing,Supply chain and procurement practices,51958,2023,Ardo,Processed Foods,Belgium
equality and diversity,"Diversity, equal opportunity and non-discrimination",44121,2021,Green Foods Co Ltd,Processed Foods,Japan
Healthy and Sustainable Diets,Other,19923,2023,Greencore Group PLC,Processed Foods,Ireland
Compliance with Supplier Code,Corporate governance,20637,2018,Orkla ASA,Processed Foods,Norway
nutrition,Access & affordability,28225,2018,Emmi Group,Processed Foods,Switzerland
Employee Training,"Training, education and development",30748,2023,COFCO Joycome Foods Limited,Processed Foods,China
Environmental sustainability,Environmental management,35546,2021,RFG Holdings Limited,Processed Foods,South Africa
Local sourcing of ingredients,Supply chain and procurement practices,18997,2024,Bonduelle SCA,Processed Foods,France
environmental and social indicators,Other,23262,2022,Tiger Brands Ltd,Processed Foods,South Africa
Water stewardship,Water management,18726,2022,"General Mills, Inc.",Processed Foods,United States
Sustainable investments,Economic performance,31587,2023,Vandemoortele NV,Processed Foods,Belgium
Community investment,Local communities and rights of indigenous peoples,58756,2024,Jiujiuwang Food International Ltd,Processed Foods,China
Waste reduction,Waste management,38426,2022,Lotus Bakeries NV,Processed Foods,Belgium
Community engagement,Local communities and rights of indigenous peoples,45989,2023,Nestle Malaysia Bhd,Processed Foods,Malaysia
Supply Chain Packaging,Material use and circular economy,22562,2023,Britannia Industries Ltd,Processed Foods,India
Responsible Procurement,Supply chain and procurement practices,50590,2021,Lien Hwa Industrial Corporation,Processed Foods,Taiwan
Ensuring food safety,Product quality and safety,24855,2021,Nisshin Seifun Group Inc.,Processed Foods,Japan
Fair labour practices,"Human rights, child labor, forced or compulsory labor",36313,2022,Julius Meinl,Processed Foods,Austria
Transparency,Corporate governance,18882,2021,Cloetta AB,Processed Foods,Sweden
Packaging and waste,Waste management,42635,2023,Cerealis,Processed Foods,Tunisia
Reducing food waste,Material use and circular economy,24857,2023,Nisshin Seifun Group Inc.,Processed Foods,Japan
Human rights,"Human rights, child labor, forced or compulsory labor",41197,2022,Unicharm Petcare Corp,Processed Foods,Japan
Raw materials availability,Material use and circular economy,33294,2022,"San Miguel Food and Beverage, Inc.",Processed Foods,Philippines
Food quality and safety,Product quality and safety,37974,2023,SunOpta Inc,Processed Foods,Canada
Supplier Environmental Assessment,Supply chain and procurement practices,45994,2021,Nestle Pakistan Ltd,Processed Foods,Pakistan
Labor/Management Relations,Freedom of association and collective bargaining,46999,2024,Savola Group/The,Processed Foods,Saudi Arabia
waste reduction,Waste management,34355,2022,"OSI Group, LLC",Processed Foods,United States
Relationship of trust with local communities,Local communities and rights of indigenous peoples,41195,2023,Daisho Co Ltd,Processed Foods,Japan
Food sustainability,Other,39830,2024,Libstar Holdings Ltd,Processed Foods,South Africa
Employment equity,"Diversity, equal opportunity and non-discrimination",23261,2021,Tiger Brands Ltd,Processed Foods,South Africa
Environment,Environmental management,49111,2021,Edita Food Industries SAE,Processed Foods,"Egypt, Arab Rep."
Diversity equity inclusion,"Diversity, equal opportunity and non-discrimination",50907,2024,Bakkafrost P/F,Processed Foods,Faroe Islands
Water reduction targets,Water management,55967,2023,Coca-Cola Europacific Partners PLC,Processed Foods,United Kingdom
corporate governance,Corporate governance,35765,2024,Nestlé Group,Processed Foods,Switzerland
Product and consumer safety,Product quality and safety,32133,2021,Bell Food Group AG,Processed Foods,Switzerland
Fair Labour practices,"Human rights, child labor, forced or compulsory labor",35165,2022,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
Renewable electricity,Energy,29491,2022,McCain Foods,Processed Foods,Canada
healthy and responsible food,Other,31231,2022,Helsingin Mylly Oy,Processed Foods,Finland
sustainable and fair supply chain,Supply chain and procurement practices,32447,2022,Greencore Group PLC,Processed Foods,Ireland
The environment and natural resources,Environmental management,58756,2024,Jiujiuwang Food International Ltd,Processed Foods,China
Diversity & Inclusion,"Diversity, equal opportunity and non-discrimination",44918,2024,JK Sugar Ltd,Processed Foods,India
Inventory management,Economic performance,40247,2024,Uni-President Enterprises Corp,Processed Foods,Taiwan
Energy Use,Energy,21846,2023,"Freshpet, Inc.",Processed Foods,United States
Human rights,"Human rights, child labor, forced or compulsory labor",28740,2022,Orion Corporation,Processed Foods,Finland
Business operations and supply chain resilience,Supply chain and procurement practices,28569,2022,The Hershey Company,Processed Foods,United States
sustainable raw materials,Material use and circular economy,60220,2025,Kyokuyo Co Ltd,Processed Foods,Japan
Treatment and Disposal of Waste,Waste management,23554,2022,Delfi Ltd,Processed Foods,Singapore
organisational ethics,Corporate governance,23262,2022,Tiger Brands Ltd,Processed Foods,South Africa
Air pollution,Air pollution,28568,2019,The Hershey Company,Processed Foods,United States
Economic Performance,Economic performance,47684,2024,Taokaenoi Food & Marketing PCL,Processed Foods,Thailand
Biodiversity,Biodiversity,33737,2021,DCM Shriram Ltd.,Processed Foods,India
Occupational Health and Safety,Occupational health and safety,28347,2018,Pivovary Staropramen s.r.o.,Processed Foods,Czechia
Plant-rich food transition,Innovation and R&D,18997,2024,Bonduelle SCA,Processed Foods,France
Continual Improvement,Other,25469,2019,Uni-President Enterprises Corp,Processed Foods,Taiwan
Safe and Inclusive Work Environment,Occupational health and safety,57766,2024,Grupo Arcor SA,Processed Foods,Argentina
Product quality and product safety,Product quality and safety,57804,2024,Chocoladefabriken Lindt & Spruengli AG,Processed Foods,Switzerland
Energy,Energy,51202,2020,Tiger Brands Ltd,Processed Foods,South Africa
Supplier Environmental Assessment,Supply chain and procurement practices,48864,2021,"Snyder's-Lance, Inc.",Processed Foods,United States
Tax,Tax,33034,2020,Emmi AG,Processed Foods,Switzerland
Reducing greenhouse gas emissions,Climate change and GHG emissions,34170,2023,Itoham Yonekyu Holdings Inc.,Processed Foods,Japan
Human rights & labour rights,"Human rights, child labor, forced or compulsory labor",32447,2022,Greencore Group PLC,Processed Foods,Ireland
Water Use,Water management,29634,2020,Herbalife Nutrition Ltd,Processed Foods,Cayman Islands
financial wellbeing,Access & affordability,18282,2022,Associated British Foods PLC,Processed Foods,United Kingdom
Child labor,"Human rights, child labor, forced or compulsory labor",47818,2024,The J M Smucker Company,Processed Foods,United States
human rights,"Human rights, child labor, forced or compulsory labor",32823,2022,SunOpta Inc,Processed Foods,Canada
food waste minimization,Material use and circular economy,55310,2023,What’s Cooking?,Processed Foods,Netherlands
respect for human rights,"Human rights, child labor, forced or compulsory labor",59856,2024,Ebro Foods SA,Processed Foods,Spain
Sustainable agriculture,Environmental management,36204,2024,Cloetta AB,Processed Foods,Sweden
Caring for the earth,Other,23931,2023,Calbee Inc,Processed Foods,Japan
Product safety,Product quality and safety,39637,2024,Ezaki Glico Co Ltd,Processed Foods,Japan
Economic responsibility,Economic performance,28738,2020,Orion Corporation,Processed Foods,Finland
Development of human resources,"Training, education and development",39637,2024,Ezaki Glico Co Ltd,Processed Foods,Japan
Supply Chain Resilience,Supply chain and procurement practices,28449,2020,Campbell's,Processed Foods,United States
Novel ingredients,Innovation and R&D,33291,2021,Nutreco N.V.,Processed Foods,Netherlands
Reducing of the consumption of energy,Energy,34168,2021,Itoham Yonekyu Holdings Inc.,Processed Foods,Japan
Water and Effluents,Water management,34765,2021,Thai President Foods Public Company Limited.,Processed Foods,Thailand
Inclusive culture,"Diversity, equal opportunity and non-discrimination",50958,2021,Lancaster Colony Corporation,Processed Foods,United States
Transparency,Corporate governance,38423,2022,Ebro Foods SA,Processed Foods,Spain
Atmospheric emissions,Air pollution,41557,2021,Alfesca,Processed Foods,Iceland
Preserve water,Water management,18990,2022,Bonduelle SCA,Processed Foods,France
Greenhouse Gas Emissions,Climate change and GHG emissions,58064,2024,Viciunai Group,Processed Foods,Lithuania
Inclusion & diversity,"Diversity, equal opportunity and non-discrimination",51959,2024,Ardo,Processed Foods,Belgium
Wastes,Waste management,36370,2022,Pivovary Staropramen s.r.o.,Processed Foods,Czechia
Suppliers’ ESG profile,Supply chain and procurement practices,45918,2021,NASCON Allied Industries PLC,Processed Foods,Nigeria
nutrition,Access & affordability,18443,2019,Campbell Soup Company,Processed Foods,United States
Reduce food waste,Material use and circular economy,53372,2021,Hochland Polska,Processed Foods,Poland
carbon neutrality,Climate change and GHG emissions,41202,2021,Kenko Mayonnaise Co Ltd,Processed Foods,Japan
Energy,Energy,47684,2024,Taokaenoi Food & Marketing PCL,Processed Foods,Thailand
Ethical Business,Corporate governance,44918,2024,JK Sugar Ltd,Processed Foods,India
Business Ethics and Transparency,Corporate governance,36685,2023,Lamb Weston Holdings Inc,Processed Foods,United States
Animal/aquaculture Health and Welfare,Animal welfare & testing,33304,2023,Thai Union Group PCL,Processed Foods,Thailand
Reducing emissions,Climate change and GHG emissions,37053,2023,Hilton Food Group PLC,Processed Foods,United Kingdom
Food waste reduction,Material use and circular economy,52191,2023,bio-familia AG,Processed Foods,Switzerland
Deforestation due diligence,"Human rights, child labor, forced or compulsory labor",29632,2022,AAK AB (publ),Processed Foods,Sweden
Environmental conservation,Environmental management,31214,2023,Guan Chong Berhad (GCB),Processed Foods,Malaysia
Anti-Corruption,Anti-corruption,34765,2021,Thai President Foods Public Company Limited.,Processed Foods,Thailand
Water management,Water management,33819,2022,"Deoleo, S.A.",Processed Foods,Spain
Renewable energy investment,Energy,27341,2024,Famous Brands Ltd,Processed Foods,South Africa
Realization of a Circular Economy,Material use and circular economy,22053,2022,Samyang Corp,Processed Foods,"Korea, Rep."
Responsible procurement,Corporate governance,28309,2021,Danone,Processed Foods,France
Employee value proposition,Employee attraction and retention,33818,2021,"Deoleo, S.A.",Processed Foods,Spain
Use of sustainable packaging,Material use and circular economy,27783,2024,Kenko Mayonnaise Co Ltd,Processed Foods,Japan
Gender Parity,"Diversity, equal opportunity and non-discrimination",35758,2022,Mars,Processed Foods,United States
Regulatory compliance,Compliance with laws and regulations,18727,2023,"General Mills, Inc.",Processed Foods,United States
Group Profitability,Economic performance,48335,2023,Want Want China Holdings Ltd,Processed Foods,China
Social and environmental responsibility,Other,44878,2022,JG Summit Holdings Inc,Processed Foods,Philippines
Employees' rights and benefits,Employee attraction and retention,30747,2022,COFCO Joycome Foods Limited,Processed Foods,China
environment and supply chain sustainability,Environmental management,28539,2020,"Herbalife International, Inc.",Processed Foods,United States
Prevention of Harassment,"Diversity, equal opportunity and non-discrimination",54699,2022,Sigma Alimentos,Processed Foods,Mexico
Animal Welfare,Animal welfare & testing,44739,2021,Interfood Shareholding Co,Processed Foods,Viet Nam
Diversity inclusion human rights,"Diversity, equal opportunity and non-discrimination",40579,2021,Tereos Sugar & Energy Brazil,Processed Foods,Brazil
Safety health and environment initiatives,Environmental management,45987,2021,Nestle Malaysia Bhd,Processed Foods,Malaysia
"Food Safety, Access & Health",Product quality and safety,34850,2022,International Foods Co,Processed Foods,United Arab Emirates
Energy,Energy,31748,2022,Coca-Cola Europacific Partners PLC,Processed Foods,United Kingdom
Anti-corruption,Anti-corruption,57945,2024,Carozzi SA,Processed Foods,Chile
Effluents & Waste,Water management,50752,2021,Kawan Food Bhd,Processed Foods,Malaysia
Labour and employment,"Human rights, child labor, forced or compulsory labor",27340,2023,Famous Brands Ltd,Processed Foods,South Africa
water and soil,Water management,37427,2024,Ajinomoto Co Inc,Processed Foods,Japan
diversity in pipeline,"Diversity, equal opportunity and non-discrimination",19933,2022,The Hain Celestial Group Inc,Processed Foods,United States
Regulatory Compliance,Compliance with laws and regulations,35059,2021,GloryBee Inc,Processed Foods,United States
Packaging materials,Material use and circular economy,25467,2023,Hunya Foods Co Ltd,Processed Foods,Taiwan
CO2 footprint reduction,Climate change and GHG emissions,55310,2023,What’s Cooking?,Processed Foods,Netherlands
Sustainability biodiversity agriculture,Biodiversity,32651,2021,Hilton Food Group PLC,Processed Foods,United Kingdom
Procurement Practices,Supply chain and procurement practices,24562,2024,House Foods Group Inc,Processed Foods,Japan
Responsible Marketing and Product Labeling,Responsible marketing and labeling,50618,2022,Asian Alliance International PCL,Processed Foods,Thailand
Renewable energy,Energy,53409,2023,Humble Group,Processed Foods,Sweden
Positive nutrition,Access & affordability,24547,2022,Libstar Holdings Ltd,Processed Foods,South Africa
Circular economy and packaging materials,Material use and circular economy,58675,2024,Foshan Haitian Flavouring & Food Co Ltd,Processed Foods,China
Corruption,Anti-corruption,33040,2023,Leroy Seafood Group ASA,Processed Foods,Norway
Environment,Environmental management,29632,2022,AAK AB (publ),Processed Foods,Sweden
Living conditions in supply chain,"Human rights, child labor, forced or compulsory labor",18883,2022,Cloetta AB,Processed Foods,Sweden
Occupational Health and Safety,Occupational health and safety,39270,2021,Old Chang Kee Ltd.,Processed Foods,Singapore
Occupational Health and Safety,Occupational health and safety,31213,2022,Guan Chong Berhad (GCB),Processed Foods,Malaysia
Human and labour rights,"Human rights, child labor, forced or compulsory labor",18282,2022,Associated British Foods PLC,Processed Foods,United Kingdom
Water consumption and discharges,Water management,60562,2025,pladis,Processed Foods,United Kingdom
Training and Education,"Training, education and development",51998,2023,Aspire Bakeries,Processed Foods,United States
Response to Climate Change,Climate change and GHG emissions,37048,2021,CJ CheilJedang Corporation,Processed Foods,"Korea, Rep."
Civil unrest,Other,24548,2023,Libstar Holdings Ltd,Processed Foods,South Africa
Air and greenhouse gas emission,Climate change and GHG emissions,58756,2024,Jiujiuwang Food International Ltd,Processed Foods,China
Supporting health and wellbeing,Other,18281,2021,Associated British Foods PLC,Processed Foods,United Kingdom
Health and safety of employees,Occupational health and safety,30204,2022,Viciunai Group,Processed Foods,Lithuania
Quality and Traceable Food Resources,Supply chain and procurement practices,50894,2020,Danone,Processed Foods,France
Staff performance and rewards,Economic performance,33523,2022,Old Chang Kee Ltd.,Processed Foods,Singapore
Relations with and Satisfaction,Corporate governance,34765,2021,Thai President Foods Public Company Limited.,Processed Foods,Thailand
Skills development,"Training, education and development",20638,2019,Orkla ASA,Processed Foods,Norway
Consumer health safety welfare,Other,21345,2022,Grupo Herdez SAB de CV,Processed Foods,Mexico
Nutritional quality,Product quality and safety,28309,2021,Danone,Processed Foods,France
Diversity and equal opportunities,"Diversity, equal opportunity and non-discrimination",33739,2024,DCM Shriram Ltd.,Processed Foods,India
Safety,Occupational health and safety,51996,2021,Aspire Bakeries,Processed Foods,United States
Product quality and human health,Product quality and safety,32253,2021,Bakkafrost P/F,Processed Foods,Faroe Islands
Animal welfare,Animal welfare & testing,29070,2021,Hershey Co,Processed Foods,United States
Ethical conduct,Corporate governance,32252,2020,Bakkafrost P/F,Processed Foods,Faroe Islands
Managing our CO2 emissions,Climate change and GHG emissions,38242,2023,Carozzi SA,Processed Foods,Chile
Packaging,Material use and circular economy,58273,2024,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Legal compliance,Compliance with laws and regulations,37427,2024,Ajinomoto Co Inc,Processed Foods,Japan
Community investment,Local communities and rights of indigenous peoples,36572,2023,DelMonte,Processed Foods,United States
Competency development,"Training, education and development",33551,2023,Khong Guan Limited,Processed Foods,Singapore
Security Practices,Data security and customer privacy,45994,2021,Nestle Pakistan Ltd,Processed Foods,Pakistan
labour and employment,"Human rights, child labor, forced or compulsory labor",23248,2021,AVI Ltd,Processed Foods,South Africa
Climate Change Risks,Risk management,29088,2023,Kraft Heinz Co,Processed Foods,United States
Energy,Energy,45582,2022,Mayora Indah Tbk PT,Processed Foods,Indonesia
Environmental compliance,Compliance with laws and regulations,58675,2024,Foshan Haitian Flavouring & Food Co Ltd,Processed Foods,China
creation of health value,Other,24559,2021,House Foods Group Inc,Processed Foods,Japan
Employment,Employee attraction and retention,33034,2020,Emmi AG,Processed Foods,Switzerland
Climate Action,Climate change and GHG emissions,50618,2022,Asian Alliance International PCL,Processed Foods,Thailand
Project Safety,Occupational health and safety,33738,2022,DCM Shriram Ltd.,Processed Foods,India
Sustainability-related risks,Risk management,57968,2024,Utz Brands Inc,Processed Foods,United States
Sustainable Procurement,Supply chain and procurement practices,28536,2024,GEA Group Aktiengesellschaft,Processed Foods,Germany
Packaging recyclability,Material use and circular economy,18882,2021,Cloetta AB,Processed Foods,Sweden
Packaging,Material use and circular economy,33819,2022,"Deoleo, S.A.",Processed Foods,Spain
Customer complaints,Corporate governance,22041,2022,Dongwon Industries Co Ltd,Processed Foods,"Korea, Rep."
Environmental issues,Environmental management,36233,2024,Löfbergs Lila AB,Processed Foods,Sweden
climate change,Climate change and GHG emissions,18641,2021,Mondelez International Inc,Processed Foods,United States
Water Stewardship,Water management,49362,2021,The J.M. Smucker Company,Processed Foods,United States
Sustainable raw materials,Material use and circular economy,20637,2018,Orkla ASA,Processed Foods,Norway
Renewable energy solutions,Energy,29632,2022,AAK AB (publ),Processed Foods,Sweden
"Health, Nutrition and Wellness",Access & affordability,18445,2021,Campbell Soup Company,Processed Foods,United States
Financial performance,Economic performance,36127,2024,"General Mills, Inc.",Processed Foods,United States
"Communities’ economic, social and cultural rights",Other,57634,2024,Julius Meinl,Processed Foods,Austria
Local Communities,Local communities and rights of indigenous peoples,49293,2022,Sunmoon Food Co Ltd,Processed Foods,Singapore
Raising employee environmental awareness,"Training, education and development",53372,2021,Hochland Polska,Processed Foods,Poland
Greenhouse Gas Emissions,Climate change and GHG emissions,20650,2021,"Post Holdings, Inc.",Processed Foods,United States
Indirect Economic Impacts,Economic performance,50588,2019,Lien Hwa Industrial Corporation,Processed Foods,Taiwan
Biodiversity and ecosystems,Biodiversity,36273,2024,Lindt & Sprüngli AG,Processed Foods,Switzerland
ethical management,Corporate governance,59856,2024,Ebro Foods SA,Processed Foods,Spain
Corporate Governance,Corporate governance,33304,2023,Thai Union Group PCL,Processed Foods,Thailand
Emissions,Climate change and GHG emissions,28347,2018,Pivovary Staropramen s.r.o.,Processed Foods,Czechia
Employee satisfaction,Employee attraction and retention,36230,2023,Lantmännen ek för,Processed Foods,Sweden
Legal and regulatory compliance,Compliance with laws and regulations,18883,2022,Cloetta AB,Processed Foods,Sweden
Economic empowerment,Economic performance,52381,2023,Casa Optima Group,Processed Foods,Italy
Supplier code of conduct,Corporate governance,35064,2021,Modern Milkman Ltd,Processed Foods,United Kingdom
Operational disruptions,Risk management,28078,2020,Molson Coors Beverage Company,Processed Foods,United States
"Health, Hygiene, and Safety",Occupational health and safety,21336,2022,Gruma SAB de CV,Processed Foods,Mexico
human rights,"Human rights, child labor, forced or compulsory labor",34169,2022,Itoham Yonekyu Holdings Inc.,Processed Foods,Japan
resource recycling,Material use and circular economy,60220,2025,Kyokuyo Co Ltd,Processed Foods,Japan
Environmental impact,Environmental management,18869,2018,Cloetta AB,Processed Foods,Sweden
Occupational Health Safety,Occupational health and safety,44884,2023,Jiahe Foods Industry Co Ltd,Processed Foods,China
Labor/Management Relations,Freedom of association and collective bargaining,26526,2023,Zetar Ltd,Processed Foods,United Kingdom
Maintaining safe working conditions,Occupational health and safety,18274,2019,Associated British Foods PLC,Processed Foods,United Kingdom
Ethics,Corporate governance,50958,2021,Lancaster Colony Corporation,Processed Foods,United States
Carbon footprint of products,Product quality and safety,37776,2024,Dongwon Industries Co Ltd,Processed Foods,"Korea, Rep."
Safety,Occupational health and safety,58273,2024,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Environmental management standard,Environmental management,25956,2021,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Sustainable & Responsible Sourcing,Supply chain and procurement practices,21855,2022,"Freshpet, Inc.",Processed Foods,United States
waste,Waste management,32252,2020,Bakkafrost P/F,Processed Foods,Faroe Islands
Access to nutrition,Access & affordability,19783,2023,Kerry Group PLC,Processed Foods,Ireland
Sugar-free alternatives,Access & affordability,18869,2018,Cloetta AB,Processed Foods,Sweden
customer satisfaction,Customer experience and engagement,38995,2024,AVI Ltd,Processed Foods,South Africa
"Talent attraction, development, and retention",Employee attraction and retention,25467,2023,Hunya Foods Co Ltd,Processed Foods,Taiwan
Business ethics and anti-corruption,Anti-corruption,36232,2021,Löfbergs Lila AB,Processed Foods,Sweden
Reduction of greenhouse gas emissions,Climate change and GHG emissions,52068,2022,Baby Food Factory (BFF),Processed Foods,Serbia
Forced or Compulsory Labor,"Human rights, child labor, forced or compulsory labor",26523,2023,Brake Bros Ltd,Processed Foods,United Kingdom
Business Ethics Governance,Corporate governance,53245,2021,Griffith Foods,Processed Foods,United States
plant-based products,Other,55310,2023,What’s Cooking?,Processed Foods,Netherlands
Climate Change Response,Climate change and GHG emissions,22053,2022,Samyang Corp,Processed Foods,"Korea, Rep."
Consumer health and nutrition,Customer health and safety,36273,2024,Lindt & Sprüngli AG,Processed Foods,Switzerland
Employee Engagement,Employee attraction and retention,19847,2019,Lamb Weston Holdings Inc,Processed Foods,United States
healthier eating,Access & affordability,27338,2021,Famous Brands Ltd,Processed Foods,South Africa
Greenhouse gas emissions,Climate change and GHG emissions,35120,2022,Brake Bros Ltd,Processed Foods,United Kingdom
Water stewardship,Water management,45389,2024,Lippo Ltd,Processed Foods,"Hong Kong SAR, China"
Food safety,Product quality and safety,33039,2019,Leroy Seafood Group ASA,Processed Foods,Norway
Decarbonization,Climate change and GHG emissions,31655,2023,"Nisshin OilliO Group, Ltd.",Processed Foods,Japan
slavery,"Human rights, child labor, forced or compulsory labor",33035,2022,Emmi AG,Processed Foods,Switzerland
environmental aspects,Environmental management,43254,2022,Dharma Samudera Fishing Industries Tbk PT,Processed Foods,Indonesia
Climate Change Risks,Risk management,57885,2024,Kraft Heinz Co,Processed Foods,United States
consumer wellbeing,Other,49111,2021,Edita Food Industries SAE,Processed Foods,"Egypt, Arab Rep."
Energy Savings,Energy,43021,2021,Convenience Foods Lanka PLC,Processed Foods,Sri Lanka
anti-corruption,Anti-corruption,53524,2022,Italcanditi,Processed Foods,Italy
Talent attraction and retention,Employee attraction and retention,37982,2021,"Treehouse Foods, Inc.",Processed Foods,United States
Health & Safety risks,Occupational health and safety,38262,2023,Lactalis ,Processed Foods,France
Wage/Remuneration and Welfare Measures,Employee attraction and retention,50590,2021,Lien Hwa Industrial Corporation,Processed Foods,Taiwan
Consumer education initiatives,"Training, education and development",29459,2023,PT INDOFOOD SUKSES MAKMUR Tbk,Processed Foods,Indonesia
Zero Waste to Landfill,Waste management,28568,2019,The Hershey Company,Processed Foods,United States
health and safety audits,Occupational health and safety,35546,2021,RFG Holdings Limited,Processed Foods,South Africa
Economic Performance,Economic performance,26523,2023,Brake Bros Ltd,Processed Foods,United Kingdom
Training and Education,"Training, education and development",26523,2023,Brake Bros Ltd,Processed Foods,United Kingdom
Human rights in value chain,"Human rights, child labor, forced or compulsory labor",18996,2023,Bonduelle SCA,Processed Foods,France
Forced or Compulsory Labour,"Human rights, child labor, forced or compulsory labor",31213,2022,Guan Chong Berhad (GCB),Processed Foods,Malaysia
quality,Product quality and safety,38261,2024,McCain Foods,Processed Foods,Canada
Associate Health & Safety,Occupational health and safety,34849,2021,International Foods Co,Processed Foods,United Arab Emirates
Food loss and waste,Waste management,19922,2021,Greencore Group PLC,Processed Foods,Ireland
Respecting human rights,"Human rights, child labor, forced or compulsory labor",57804,2024,Chocoladefabriken Lindt & Spruengli AG,Processed Foods,Switzerland
international relations,Other,32250,2018,Bakkafrost P/F,Processed Foods,Faroe Islands
Animal welfare,Animal welfare & testing,28229,2020,Lindt & Sprüngli AG,Processed Foods,Switzerland
Product Safety & Quality,Product quality and safety,28539,2020,"Herbalife International, Inc.",Processed Foods,United States
Local hiring practices,Employee attraction and retention,31214,2023,Guan Chong Berhad (GCB),Processed Foods,Malaysia
Traceability and quality products,Supply chain and procurement practices,18990,2022,Bonduelle SCA,Processed Foods,France
Labor and workforce shortages,Employee attraction and retention,27781,2024,Riken Vitamin Co Ltd,Processed Foods,Japan
Public Policy,Other,43211,2021,Del Monte Pacific Ltd,Processed Foods,Philippines
No inhumane treatment,"Human rights, child labor, forced or compulsory labor",19924,2024,Greencore Group PLC,Processed Foods,Ireland
Minimizing resource use,Material use and circular economy,59680,2025,Danone,Processed Foods,France
Consumer Privacy,Data security and customer privacy,28550,2020,The J.M. Smucker Company,Processed Foods,United States
Supply chain transparency,Supply chain and procurement practices,18275,2020,Associated British Foods PLC,Processed Foods,United Kingdom
Water and Effluents,Water management,51998,2023,Aspire Bakeries,Processed Foods,United States
Employment,Employee attraction and retention,47064,2023,Select Harvests Ltd,Processed Foods,Australia
Climate change,Climate change and GHG emissions,28567,2018,The Hershey Company,Processed Foods,United States
Security Practices,Data security and customer privacy,46506,2022,PIC Tech Ltd,Processed Foods,New Zealand
Supplier diversity,Supply chain and procurement practices,18444,2020,Campbell Soup Company,Processed Foods,United States
Employee engagement,Employee attraction and retention,22562,2023,Britannia Industries Ltd,Processed Foods,India
Animal welfare,Animal welfare & testing,22343,2022,"Treehouse Foods, Inc.",Processed Foods,United States
Waste Generation and Disposal,Waste management,33575,2023,China Yurun Food Group Limited,Processed Foods,China
Improve our climate,Climate change and GHG emissions,33040,2023,Leroy Seafood Group ASA,Processed Foods,Norway
Climate,Climate change and GHG emissions,29632,2022,AAK AB (publ),Processed Foods,Sweden
Culture and Human Capital Management,Corporate governance,18445,2021,Campbell Soup Company,Processed Foods,United States
Being a responsible investor,Corporate governance,46507,2023,PIC Tech Ltd,Processed Foods,New Zealand
Food Loss & Waste,Waste management,19783,2023,Kerry Group PLC,Processed Foods,Ireland
Business ethics,Corporate governance,33033,2023,Barry Callebaut AG,Processed Foods,Switzerland
Child labour prevention,"Human rights, child labor, forced or compulsory labor",33043,2021,Savencia SA,Processed Foods,France
Stakeholder communication,Corporate governance,39276,2021,Zhongxin Fruit and Juice Ltd,Processed Foods,Singapore
Our People,Other,28569,2022,The Hershey Company,Processed Foods,United States
Industry Engagement and Collaboration,Corporate governance,45987,2021,Nestle Malaysia Bhd,Processed Foods,Malaysia
Training and skills development,"Training, education and development",36660,2024,Kerry Group PLC,Processed Foods,Ireland
Women's Empowerment,"Diversity, equal opportunity and non-discrimination",28900,2022,Nissui Corp,Processed Foods,Japan
Foreign exchange hedging,Economic performance,24548,2023,Libstar Holdings Ltd,Processed Foods,South Africa
water use,Water management,39636,2021,Ezaki Glico Co Ltd,Processed Foods,Japan
Product Quality and Safety,Product quality and safety,44739,2021,Interfood Shareholding Co,Processed Foods,Viet Nam
Business ethics and transparency,Corporate governance,37426,2022,Ajinomoto Co Inc,Processed Foods,Japan
Recyclable packaging,Material use and circular economy,58697,2024,Green Foods Co Ltd,Processed Foods,Japan
Food safety,Product quality and safety,19924,2024,Greencore Group PLC,Processed Foods,Ireland
Corporate governance,Corporate governance,41197,2022,Unicharm Petcare Corp,Processed Foods,Japan
Social risks,Other,38262,2023,Lactalis ,Processed Foods,France
Sustainable materials sourcing,Material use and circular economy,51820,2022,Ajinomoto Group,Processed Foods,Japan
